Algorithm: rand
3000,1000000,317,0,0.000317
2000,1000000,317,0,0.000317
1000,1000000,317,0,0.000317
500,1000000,317,0,0.000317
200,1000000,569,369,0.000569
100,1000000,1130,1030,0.00113
50,1000000,1886,1836,0.001886
40,1000000,2131,2091,0.002131
30,1000000,2689,2659,0.002689
20,1000000,3817,3797,0.003817
15,1000000,4716,4701,0.004716
10,1000000,17076,17066,0.017076
5,1000000,100925,100920,0.100925
3,1000000,171806,171803,0.171806
2,1000000,242053,242051,0.242053
1,1000000,629737,629736,0.629737
Algorithm: lru
3000,1000000,317,0,0.000317
2000,1000000,317,0,0.000317
1000,1000000,317,0,0.000317
500,1000000,317,0,0.000317
200,1000000,480,90,0.00048
100,1000000,906,294,0.000906
50,1000000,1437,482,0.001437
40,1000000,1710,596,0.00171
30,1000000,2236,738,0.002236
20,1000000,3001,1000,0.003001
15,1000000,3464,1092,0.003464
10,1000000,17120,7646,0.01712
5,1000000,67548,21392,0.067548
3,1000000,120104,37311,0.120104
2,1000000,154429,44024,0.154429
1,1000000,629737,118475,0.629737
Algorithm: clock
3000,1000000,317,0,0.000317
2000,1000000,317,0,0.000317
1000,1000000,317,0,0.000317
500,1000000,317,0,0.000317
200,1000000,532,126,0.000532
100,1000000,945,310,0.000945
50,1000000,1529,529,0.001529
40,1000000,1739,606,0.001739
30,1000000,2356,766,0.002356
20,1000000,3162,1068,0.003162
15,1000000,3576,1157,0.003576
10,1000000,29228,11773,0.029228
5,1000000,91344,32358,0.091344
3,1000000,146923,46480,0.146923
2,1000000,228838,54321,0.228838
1,1000000,629737,118475,0.629737
